County,Population[1],"Population
density[1][2][note 1]",Per capita income[3],Median household income[6],Median family income[5]
Alameda,"1,559,308","2,109.80","$36,439","$73,775","$90,822"
Alpine,"1,202",1.6,"$24,375","$61,343","$71,932"
Amador,"37,159",62.5,"$27,373","$52,964","$68,765"
Butte,"221,578",135.4,"$24,430","$43,165","$56,934"
Calaveras,"44,921",44,"$29,296","$54,936","$67,100"
Colusa,"21,424",18.6,"$22,211","$50,503","$56,472"
Contra Costa,"1,081,232",1496,"$38,770","$79,799","$95,087"
Del Norte,"28,066",27.9,"$19,424","$39,302","$52,452"
El Dorado,"181,465",106.3,"$35,128","$68,507","$84,690"
Fresno,"948,844",159.2,"$20,231","$45,201","$50,046"
Glenn,"28,019",21.3,"$21,698","$40,106","$51,940"
Humboldt,"134,876",37.8,"$23,516","$42,153","$53,532"
Imperial,"177,026",42.4,"$16,409","$41,772","$46,555"
Inyo,"18,439",1.8,"$27,028","$45,625","$69,041"
Kern,"857,730",105.5,"$20,467","$48,574","$52,541"
Kings,"151,390",109,"$18,518","$47,341","$50,202"
Lake,"64,209",51.1,"$21,310","$35,997","$47,773"
Lassen,"33,356",7.3,"$19,847","$53,351","$66,717"
Los Angeles,"9,974,203","2,457.90","$27,987","$55,870","$62,289"
Madera,"152,452",71.3,"$17,797","$45,490","$49,964"
Marin,"256,802",493.4,"$58,004","$91,529","$120,030"
Mariposa,"17,946",12.4,"$28,327","$50,560","$63,520"
Mendocino,"87,612",25,"$23,712","$43,290","$53,996"
Merced,"261,609",135.2,"$18,464","$43,066","$47,729"
Modoc,"9,335",2.4,"$21,830","$38,560","$46,536"
Mono,"14,193",4.7,"$29,578","$61,814","$73,494"
Monterey,"424,927",129.5,"$25,048","$58,582","$62,370"
Napa,"139,253",186.1,"$35,092","$70,925","$81,275"
Nevada,"98,606",103,"$32,117","$56,949","$69,649"
Orange,"3,086,331","3,903.60","$34,416","$75,998","$85,472"
Placer,"361,518",256.9,"$35,711","$73,747","$88,615"
Plumas,"19,286",7.6,"$29,167","$48,032","$60,709"
Riverside,"2,266,899",314.6,"$23,660","$56,592","$63,523"
Sacramento,"1,450,277","1,503.00","$27,071","$55,615","$64,496"
San Benito,"56,888",41,"$26,317","$67,874","$71,124"
San Bernardino,"2,078,586",103.6,"$21,384","$54,100","$59,626"
San Diego,"3,183,143",756.7,"$31,043","$63,996","$74,569"
San Francisco,"829,072","17,680.10","$49,986","$78,378","$93,391"
San Joaquin,"701,050",503.9,"$22,642","$53,253","$59,614"
San Luis Obispo,"274,184",83.1,"$30,392","$59,454","$75,828"
San Mateo,"739,837","1,649.70","$47,198","$91,421","$108,088"
Santa Barbara,"431,555",157.8,"$30,526","$63,409","$73,636"
Santa Clara,"1,841,569","1,427.30","$42,666","$93,854","$106,401"
Santa Cruz,"267,203",600.2,"$33,050","$66,923","$81,495"
Shasta,"178,520",47.3,"$23,763","$44,556","$55,028"
Sierra,"3,019",3.2,"$28,030","$43,107","$57,708"
Siskiyou,"44,261",7.1,"$22,482","$37,495","$46,079"
Solano,"421,624",513.1,"$29,132","$67,341","$77,634"
Sonoma,"491,790",312.1,"$33,361","$63,799","$76,614"
Stanislaus,"522,794",349.8,"$21,729","$49,573","$55,357"
Sutter,"95,067",157.8,"$23,828","$51,527","$58,434"
Tehama,"63,284",21.5,"$21,002","$42,369","$49,731"
Trinity,"13,515",4.3,"$23,145","$36,862","$49,221"
Tulare,"451,108",93.5,"$17,888","$42,863","$45,296"
Tuolumne,"54,347",24.5,"$26,063","$48,493","$58,355"
Ventura,"835,790",453.5,"$33,308","$77,335","$86,890"
Yolo,"204,162",201.2,"$28,080","$55,508","$75,225"
Yuba,"73,059",115.6,"$19,586","$45,470","$49,560"